OrderID,Date,Region,Product,Category,Price,Quantity,Discount,Returned,CustomerRating,Notes
1103,2024-06-05,EMEA,Alpha,A,140.34,8,0.33,1,4.3,
1104,2024-02-16,AMER,Gamma,A,107.74,1,0.02,0,3.7,promo
1105,2024-04-23,APAC,Gamma,A,200.78,5,0.35,0,4.2,
1106,2024-05-18,EMEA,Beta,B,142.31,6,0.08,0,4.1,
1107,2024-06-04,EMEA,Beta,B,176.47,9,0.15,0,3.7,bulk
1108,2024-04-26,AMER,Delta,B,218.4,1,0.0,0,4.1,bulk
1109,2024-02-16,AMER,Delta,B,195.48,1,0.23,0,4.6,
1110,2024-02-01,EMEA,Delta,B,220.01,5,0.14,0,4.3,bulk
1111,2024-08-15,AMER,Beta,B,193.72,9,0.32,0,3.8,
1112,2024-05-11,APAC,Beta,B,140.47,1,0.31,0,4.8,
1113,2024-07-14,EMEA,Delta,B,199.05,4,0.29,0,3.5,
1114,2024-06-13,APAC,Gamma,A,234.97,1,0.15,0,4.7,
1115,2024-08-25,APAC,Delta,B,203.97,3,0.21,0,4.2,
1116,2024-04-15,APAC,Gamma,A,125.56,5,0.31,0,4.1,
1117,2024-01-28,EMEA,Alpha,A,228.02,5,0.16,0,5.0,bulk
1118,2024-03-15,AMER,Alpha,A,220.93,9,0.28,0,4.6,
1119,2024-02-04,AMER,Delta,B,210.71,4,0.28,0,4.0,
1120,2024-04-22,APAC,Alpha,A,211.77,1,0.05,0,3.6,
1006,2024-05-10,AMER,Gamma,A,224.81,8,0.05,0,4.3,bulk
